uniprot,symbol,compartments,n_compartments
Q9UKT7,FBXL3,cytosol;nucleus,2
P78334,GABRE,cell junction;plasma_membrane;synapse,3
P15104,GLUL,cytosol;extracellular;mitochondrion;nucleus;plasma_membrane;vesicle,6
Q6PKC0,GMPR2,cytosol,1
P32249,GPR183,plasma_membrane,1
Q9Y2T5,GPR52,plasma_membrane,1
Q92747,ARPC1A,cytoskeleton;cytosol;extracellular;nucleus;vesicle,5
P01889,HLA-B,endoplasmic_reticulum;endosome;extracellular;golgi;nucleus;plasma_membrane;vesicle,7
P04222,HLA-C,endoplasmic_reticulum;endosome;extracellular;golgi;nucleus;plasma_membrane;vesicle,7
Q9Y679-2,AUP1,endoplasmic_reticulum;extracellular;nucleus;vesicle,4
P50213-2,IDH3A,mitochondrion;nucleus,2
Q969P0-3,IGSF8,extracellular;plasma_membrane;vesicle,3
Q9Y234,LIPT1,mitochondrion,1
P02545-2,LMNA,cytoskeleton;cytosol;nucleus,3
P43121,MCAM,cell junction;extracellular;plasma_membrane,3
Q13201,MMRN1,endoplasmic_reticulum;extracellular;vesicle,3
P21589,NT5E,cytosol;extracellular;nucleus;plasma_membrane;vesicle,5
Q9Y2A9,B3GNT3,golgi;plasma_membrane,2
Q9UKX7-2,NUP50,nucleus,1
Q96DU9,PABPC5,cytosol;mitochondrion;nucleus,3
Q9BYG5,PARD6B,cell junction;cytosol;extracellular;nucleus;plasma_membrane;vesicle,6
Q9NVD7,PARVA,cell junction;cytoskeleton;cytosol;plasma_membrane,4
Q9UL42,PNMA2,nucleolus;nucleus,2
P02765,AHSG,endoplasmic_reticulum;extracellular;golgi;vesicle,4
Q03181-2,PPARD,nucleus,1
P31323,PRKAR2B,cell junction;cytoskeleton;cytosol;extracellular;plasma_membrane;synapse;vesicle,7
Q06330-2,RBPJ,nucleolus;nucleus,2
Q8WXG1,RSAD2,endoplasmic_reticulum;golgi;mitochondrion;nucleolus;nucleus,5
Q9BRK5,SDF4,endoplasmic_reticulum;endosome;extracellular;golgi;plasma_membrane;vesicle,6
P08185,SERPINA6,extracellular;vesicle,2
Q96A29,SLC35C1,golgi,1
Q6P5W5-2,SLC39A4,endosome;plasma_membrane;vesicle,3
P17405,SMPD1,endosome;extracellular;lysosome;plasma_membrane;vesicle,5
D6RH18,SSBP2,nucleus,1
Q15561,TEAD4,nucleus,1
O95361,TRIM16,cytosol;nucleus;plasma_membrane,3
Q6PF05-3,TTC23L,cytoskeleton,1
Q9UMW8,USP18,cytosol;nucleus,2
Q8NB14,USP38,cytosol;nucleus,2
P50552,VASP,cell junction;cytoskeleton;cytosol;extracellular;plasma_membrane;vesicle,6
Q96C28,ZNF707,nucleus,1
P15391,CD19,extracellular;plasma_membrane;vesicle,3
Q9BZW8-2,CD244,plasma_membrane,1
A5D8T8,CLEC18A,endoplasmic_reticulum;endosome;extracellular;golgi;vesicle,5
O43889-2,CREB3,cytosol;endoplasmic_reticulum;golgi;nucleus,4
Q14203-2,DCTN1,cytoskeleton;cytosol;endosome;extracellular;nucleus;plasma_membrane;vesicle,7
Q99996-2,AKAP9,cell junction;cytoskeleton;cytosol;golgi;plasma_membrane;synapse,6
Q9H672,ASB7,cytosol;nucleus,2
Q86X95-2,CIR1,cytoskeleton;nucleus,2
Q9HCH3,CPNE5,extracellular;plasma_membrane;vesicle,3
Q53TN4,CYBRD1,extracellular;lysosome;plasma_membrane;vesicle,4
Q9UK85,DKKL1,extracellular;vesicle,2
Q14232,EIF2B1,cytosol;plasma_membrane,2
Q6NXP2-2,FAM71F2,golgi,1
Q9UK22,FBXO2,cytosol,1
Q8WWP7,GIMAP1,endoplasmic_reticulum;golgi;nucleus,3
P07306,ASGR1,extracellular;plasma_membrane,2
P46926,GNPDA1,cytosol;extracellular;vesicle,3
B7Z613,GPM6B,plasma_membrane,1
Q7Z602,GPR141,plasma_membrane,1
Q9Y2Q3-4,GSTK1,cytosol;extracellular;mitochondrion;peroxisome;vesicle,5
P29084,GTF2E2,cytosol;nucleus,2
Q13889,GTF2H3,nucleus,1
Q12797,ASPH,endoplasmic_reticulum;nucleus;plasma_membrane,3
Q8N3Z3,GTPBP8,mitochondrion,1
Q8TDQ0-2,HAVCR2,cell junction;nucleus;plasma_membrane,3
Q96MH2,HEXIM2,nucleus,1
O75144-2,ICOSLG,extracellular;plasma_membrane;vesicle,3
Q9H160,ING2,nucleus;plasma_membrane,2
O75449,KATNA1,cytoskeleton,1
Q9BXY0,MAK16,nucleolus;nucleus,2
Q15014,MORF4L2,nucleolus;nucleus;plasma_membrane,3
P82914,MRPS15,mitochondrion,1
O76036-6,NCR1,nucleus;plasma_membrane,2
Q8NI38,NFKBID,nucleus,1
Q9NT62,ATG3,cytosol;plasma_membrane,2
O95047,OR2A4,cytoskeleton;endosome;plasma_membrane;vesicle,4
Q8N138-4,ORMDL3,endoplasmic_reticulum;nucleus;plasma_membrane;vesicle,4
Q6PIY2,POLM,nucleus,1
Q8NI37,PPTC7,mitochondrion,1
O43741,PRKAB2,cytosol;endoplasmic_reticulum;nucleus,3
P85299,PRR5,cytosol,1
Q8N5M1,ATPAF2,cytosol;mitochondrion;nucleus,3
Q96PM5,RCHY1,cytosol;nucleus,2
Q8NC24,RELL2,plasma_membrane,1
Q9Y4L5,RNF115,cytosol;endoplasmic_reticulum;golgi;nucleus,4
Q9H4I8,SERHL2,peroxisome,1
Q9NPC8,SIX2,nucleus,1
Q9NUM3,SLC39A9,golgi;mitochondrion;nucleus;plasma_membrane,4
Q9C004,SPRY4,cell junction;cytosol;plasma_membrane,3
O75716,STK16,cytosol;golgi;nucleus;plasma_membrane,4
P08247,SYP,cell junction;plasma_membrane;synapse;vesicle,4
Q7Z7C8-2,TAF8,nucleus,1
Q6P2H8-2,TMEM53,nucleus,1
P22415,USF1,nucleus,1
Q86V25-2,VASH2,cytoskeleton;cytosol;extracellular,3
Q9Y277-2,VDAC3,extracellular;mitochondrion;nucleus;vesicle,4
Q9UBQ0-2,VPS29,cytosol;endosome;vesicle,3
Q9Y548,YIPF1,endosome;golgi;vesicle,3
P17041,ZNF32,nucleus,1
Q9NZU7-1,CABP1,cell junction;cytoskeleton;extracellular;golgi;plasma_membrane;synapse,6
Q8IVM0-2,CCDC50,cytosol,1
E5RFK5,CCNC,nucleus,1
P24385,CCND1,cytoskeleton;cytosol;nucleus,3
Q9Y232-2,CDYL,nucleus,1
Q9UNA3,A4GNT,golgi,1
Q9UIL4-2,KIF25,cytoskeleton,1
P43657,LPAR6,plasma_membrane,1
Q6PD74,AAGAB,cytosol,1
Q9NZL9-2,MAT2B,cytosol;extracellular;nucleus;vesicle,4
P13686,ACP5,cytosol;lysosome,2
Q9NS73-2,MBIP,cytoskeleton;cytosol;nucleolus;nucleus,4
Q6UB28,METAP1D,mitochondrion,1
Q15390,MTFR1,cytosol;mitochondrion;plasma_membrane,3
Q9BXD5,NPL,cytosol,1
Q9Y5X4,NR2E3,nucleus,1
Q9P121-3,NTM,cell junction;extracellular;plasma_membrane;synapse,4
Q8NFH5,NUP35,cytosol;nucleus,2
Q9H255,OR51E2,endosome;plasma_membrane;vesicle,3
O00398,P2RY10,plasma_membrane,1
Q9H244,P2RY12,plasma_membrane,1
Q86TG7-2,PEG10,cytosol;extracellular;nucleus;vesicle,4
Q96LB9,PGLYRP3,extracellular,1
A8MW92,PHF20L1,nucleus,1
P06746,POLB,cytoskeleton;cytosol;nucleus,3
Q7Z6L0-2,PRRT2,cell junction;plasma_membrane;synapse;vesicle,4
Q7RTY5,PRSS48,extracellular,1
Q9NS23-2,RASSF1,cytoskeleton;nucleus,2
Q8TC12,RDH11,endoplasmic_reticulum;nucleus,2
P22307-2,SCP2,cytosol;endoplasmic_reticulum;mitochondrion;nucleus;peroxisome,5
Q9H9B4,SFXN1,mitochondrion,1
Q13291,SLAMF1,extracellular;plasma_membrane;vesicle,3
Q86TJ2,TADA2B,nucleus,1
Q96PL2,TECTB,extracellular;plasma_membrane,2
Q5H9I0,TFDP3,cytosol;nucleus,2
Q86YD3-2,TMEM25,endosome;extracellular;lysosome;plasma_membrane;vesicle,5
Q14CS0,UBXN2B,cytosol;endoplasmic_reticulum;golgi;nucleus,4
Q9H977,WDR54,plasma_membrane;vesicle,2
Q15417,CNN3,cell junction;cytoskeleton;cytosol,3
Q9NXF8,ZDHHC7,endoplasmic_reticulum;golgi;nucleus,3
Q96N95-3,ZNF396,nucleus,1
O95218-2,ZRANB2,nucleus,1
P43234,CTSO,extracellular;lysosome,2
Q9BPW9,DHRS9,endoplasmic_reticulum;nucleus,2
Q14565,DMC1,nucleus,1
Q9H201-2,EPN3,endosome;extracellular;nucleus;plasma_membrane;vesicle,5
Q8IZU1,FAM9A,nucleolus;nucleus,2
Q8TC84,FANK1,cytoskeleton;cytosol;nucleus;plasma_membrane,4
P15408,FOSL2,nucleus,1
O14929,HAT1,mitochondrion;nucleus,2
P28358,HOXD10,nucleus,1
P56937-3,HSD17B7,endoplasmic_reticulum;mitochondrion;nucleus,3
P20933,AGA,endoplasmic_reticulum;extracellular;lysosome;vesicle,4
Q96EV8,DTNBP1,cell junction;cytoskeleton;cytosol;endoplasmic_reticulum;endosome;nucleus;plasma_membrane;synapse;vesicle,9
Q8N9I9-2,DTX3,nucleus,1
Q9H1C3,GLT8D2,golgi,1
Q9Y5P6-2,GMPPB,cytosol,1
P08754,GNAI3,cytoskeleton;cytosol;extracellular;lysosome;plasma_membrane;vesicle,6
P19087,GNAT2,plasma_membrane,1
O14775-2,GNB5,cytosol;plasma_membrane,2
P13747,HLA-E,endoplasmic_reticulum;endosome;extracellular;golgi;nucleus;plasma_membrane;vesicle,7
Q86XG6,KCNA2,cell junction;endoplasmic_reticulum;nucleus;plasma_membrane;synapse,5
Q6P1Q0-2,LETMD1,mitochondrion;nucleolus;nucleus,3
Q12907,LMAN2,endoplasmic_reticulum;er_golgi_intermediate;extracellular;golgi;nucleus;plasma_membrane;vesicle,7
Q9NQ29-2,LUC7L,nucleus,1
Q14D68,ASB4,cytosol,1
O15480,MAGEB3,nucleus,1
O15481,MAGEB4,nucleus,1
Q16539-2,MAPK14,cytosol;extracellular;nucleus;vesicle,4
Q9UHB7-2,AFF4,nucleolus;nucleus,2
Q68DK7,MSL1,nucleus,1
Q14994-2,NR1I3,cytoskeleton;nucleus,2
Q86VZ1,P2RY8,plasma_membrane,1
P57723-2,PCBP4,cytosol;nucleus,2
Q16769-2,QPCT,extracellular;vesicle,2
Q9UN42-2,ATP1B4,nucleus;plasma_membrane,2
O75695,RP2,cytoskeleton;extracellular;nucleus;plasma_membrane;vesicle,5
Q7LG56-2,RRM2B,cytosol;nucleus,2
Q6FHJ7,SFRP4,extracellular;nucleus;plasma_membrane,3
Q86WV1-2,SKAP1,nucleus;plasma_membrane;synapse,3
Q92185,ST8SIA1,golgi,1
O75683,SURF6,nucleolus;nucleus,2
P28347,TEAD1,nucleus,1
Q9NXG2,THUMPD1,nucleus,1
O75787,ATP6AP2,cell junction;endoplasmic_reticulum;endosome;extracellular;golgi;lysosome;nucleus;plasma_membrane;synapse;vesicle,10
Q8NFB2,TMEM185A,plasma_membrane,1
Q3MIR4,TMEM30B,endoplasmic_reticulum;golgi;nucleus;plasma_membrane,4
Q9NZR1-2,TMOD2,cytoskeleton,1
P58304,VSX2,nucleus,1
Q14CW9-2,ATXN7L3,nucleus,1
Q8TD46-4,CD200R1,extracellular;plasma_membrane,2
P19784,CSNK2A2,cytosol;nucleus,2
Q9UBS4,DNAJB11,endoplasmic_reticulum,1
Q8WZ79,DNASE2B,lysosome,1
Q9H410,DSN1,cytoskeleton;cytosol;extracellular;lysosome;nucleolus;nucleus;vesicle,7
P62736,ACTA2,cytoskeleton;cytosol;extracellular;plasma_membrane;vesicle,5
P61163,ACTR1A,cytoskeleton;cytosol;extracellular;vesicle,4
Q99788-2,CMKLR1,plasma_membrane,1
Q8WUP2-2,FBLIM1,cell junction;cytoskeleton;cytosol;nucleolus;nucleus,5
Q6ZV73,FGD6,cytoskeleton;golgi;plasma_membrane,3
Q06828,FMOD,extracellular;golgi;lysosome,3
P49354,FNTA,cytosol,1
Q14344,GNA13,cell junction;cytosol;extracellular;nucleus;plasma_membrane;vesicle,6
Q8TDG2,ACTRT1,cytoskeleton;nucleus;vesicle,3
Q9NW75-2,GPATCH2,nucleolus;nucleus,2
P43304-2,GPD2,mitochondrion,1
Q9HCN4,GPN1,cytosol;mitochondrion;nucleus,3
Q70UQ0,IKBIP,endoplasmic_reticulum;nucleus,2
P78508,KCNJ10,plasma_membrane,1
Q6H2H3,KIR2DL1,plasma_membrane,1
Q71RC2-3,LARP4,cytosol,1
Q9NX58,LYAR,nucleolus;nucleus;plasma_membrane,3
Q9BV79,MECR,mitochondrion;nucleus,2
O95568,METTL18,cytosol;nucleolus;nucleus,3
Q15049,MLC1,cell junction;cytosol;endoplasmic_reticulum;endosome;lysosome;plasma_membrane;vesicle,7
Q8TDY3,ACTRT2,cytoskeleton,1
P16333,NCK1,cytosol;endoplasmic_reticulum;nucleus;plasma_membrane,4
Q16795,NDUFA9,mitochondrion;nucleus,2
Q9GZT8-2,NIF3L1,mitochondrion;nucleus,2
Q15738,NSDHL,endoplasmic_reticulum;nucleus,2
Q9BYU1,PBX4,nucleus,1
Q15198,PDGFRL,extracellular,1
Q9BRQ8,AIFM2,cytosol;extracellular;mitochondrion;nucleus;plasma_membrane,5
P56645-2,PER3,cytosol;nucleus,2
Q9UNM6-2,PSMD13,cell junction;cytosol;extracellular;nucleus;synapse;vesicle,6
P55036,PSMD4,cell junction;cytosol;nucleus;synapse;vesicle,5
Q9H7Z7,PTGES2,cytosol;extracellular;golgi;lysosome;mitochondrion;vesicle,6
Q7Z6M1-2,RABEPK,cytosol;endosome;golgi;vesicle,4
Q9Y2P8,RCL1,nucleolus;nucleus,2
P60709,ACTB,cell junction;cytoskeleton;cytosol;extracellular;nucleus;plasma_membrane;synapse;vesicle,8
P50453,SERPINB9,cytosol;extracellular;golgi;nucleus;vesicle,5
Q8IXU6-3,SLC35F2,golgi;plasma_membrane,2
Q12824-2,SMARCB1,nucleolus;nucleus,2
Q9UH62,ARMCX3,mitochondrion;nucleus,2
Q11203-15,ST3GAL3,extracellular;golgi,2
Q9P2T0,THEG,nucleus,1
O60704,TPST2,endoplasmic_reticulum;golgi,2
Q8WVN8,UBE2Q2,cytosol;nucleus,2
Q9Y5W5,WIF1,extracellular;plasma_membrane,2
Q969W1-2,ZDHHC16,endoplasmic_reticulum;golgi;nucleus,3
Q8IYD9-2,C18orf54,extracellular,1
Q9H0I3,CCDC113,cytoskeleton;plasma_membrane,2
Q14094,CCNI,golgi;nucleus,2
P51684,CCR6,plasma_membrane,1
P08571,CD14,endosome;extracellular;golgi;plasma_membrane;vesicle,5
Q9NPF8-2,ADAP2,mitochondrion;plasma_membrane,2
Q86V24,ADIPOR2,plasma_membrane,1
P08174-2,CD55,er_golgi_intermediate;extracellular;golgi;plasma_membrane;vesicle,5
P12277,CKB,cytosol;extracellular;mitochondrion;plasma_membrane;vesicle,5
P06732,CKM,cytosol;extracellular,2
Q8IU60-2,DCP2,cell junction;cytosol;nucleus,3
O94830,DDHD2,cytoskeleton;cytosol;er_golgi_intermediate;golgi;vesicle,5
P80370,DLK1,extracellular,1
P39748,FEN1,mitochondrion;nucleolus;nucleus,3
O95684-2,FGFR1OP,cytoskeleton;cytosol;nucleus;plasma_membrane,4
P48448,ALDH3B2,plasma_membrane,1
Q14254,FLOT2,cell junction;endosome;extracellular;plasma_membrane;vesicle,5
P01100,FOS,cytosol;endoplasmic_reticulum;nucleus,3
P17302,GJA1,cell junction;endoplasmic_reticulum;golgi;mitochondrion;nucleus;plasma_membrane;vesicle,7
O43837-2,IDH3B,mitochondrion;nucleus,2
P42701-3,IL12RB1,plasma_membrane,1
Q14627,IL13RA2,extracellular;plasma_membrane,2
Q9P0J7,KCMF1,cytosol;endosome;extracellular;lysosome;plasma_membrane;vesicle,6
Q13601,KRR1,nucleolus;nucleus,2
P35414,APLNR,plasma_membrane,1
Q9BYZ2,LDHAL6B,mitochondrion;nucleus,2
Q16644,MAPKAPK3,cytosol;nucleus,2
Q9NR56,MBNL1,cytosol;nucleus,2
E7EP37,MICA,extracellular;plasma_membrane,2
Q9UGC7-2,MTRF1L,mitochondrion,1
O43639,NCK2,cytosol;endoplasmic_reticulum,2
Q9Y3R4,NEU2,cytosol;lysosome,2
Q9Y466,NR2E1,nucleus,1
Q8NFH3,NUP43,cytosol;nucleus,2
Q9BWX1,PHF7,cytosol;golgi;nucleus;plasma_membrane,4
O75439,PMPCB,mitochondrion,1
Q8N490-2,PNKD,endoplasmic_reticulum;golgi;mitochondrion;plasma_membrane,4
P35813-2,PPM1A,cytosol;nucleus;plasma_membrane,3
Q9Y570,PPME1,nucleus,1
P51888,PRELP,extracellular;golgi;lysosome;vesicle,4
P10644,PRKAR1A,cytosol;plasma_membrane,2
O95084,PRSS23,endoplasmic_reticulum;extracellular;nucleus;vesicle,4
Q9UI38,PRSS50,endoplasmic_reticulum,1
P17706-2,PTPN2,cytosol;endoplasmic_reticulum;er_golgi_intermediate;nucleus;plasma_membrane,5
Q8TBN0,RAB3IL1,cytosol,1
O43251-10,RBFOX2,nucleus,1
Q8NEY4,ATP6V1C2,cytosol;extracellular;lysosome;vesicle,4
O43567,RNF13,cytosol;endoplasmic_reticulum;endosome;lysosome;nucleus;vesicle,6
Q9H4B6,SAV1,cytosol;nucleus,2
Q9BWG4,SSBP4,nucleus,1
Q96I99,SUCLG2,mitochondrion;plasma_membrane,2
O00445,SYT5,cell junction;endosome;plasma_membrane;synapse;vesicle,5
Q8IYR6,TMEFF1,plasma_membrane,1
Q5T2D2,TREML2,plasma_membrane,1
E9PBZ6,TRPV5,plasma_membrane,1
Q96S82,UBL7,cytosol,1
Q6UX41,BTNL8,plasma_membrane,1
Q96L12,CALR3,endoplasmic_reticulum;nucleus,2
Q8IU85-2,CAMK1D,nucleus,1
Q96ER9-2,CCDC51,mitochondrion;nucleus,2
Q9NNX6-2,CD209,extracellular;plasma_membrane,2
Q9NYF3,FAM53C,nucleus,1
Q53RD9-2,FBLN7,cell junction;extracellular,2
Q15011-2,HERPUD1,endoplasmic_reticulum;nucleus,2
P37059,HSD17B2,endoplasmic_reticulum;nucleus,2
P51553,IDH3G,mitochondrion;nucleolus;nucleus,3
Q12905,ILF2,cytosol;extracellular;nucleolus;nucleus;vesicle,5
Q5J1K9,ART3,extracellular;plasma_membrane;vesicle,3
O43526-3,KCNQ2,plasma_membrane,1
Q969G2,LHX4,nucleus,1
Q8NF37,LPCAT1,endoplasmic_reticulum;golgi;lysosome;nucleus;plasma_membrane;vesicle,6
Q9Y383,LUC7L2,nucleus,1
P33993,MCM7,cytosol;nucleus,2
Q9NXL9,MCM9,nucleus,1
Q9H239,MMP28,extracellular,1
P55209,NAP1L1,nucleus;vesicle,2
Q96FI4,NEIL1,cytoskeleton;cytosol;nucleus,3
Q99571,P2RX4,cell junction;extracellular;lysosome;plasma_membrane;vesicle,5
Q99447,PCYT2,endoplasmic_reticulum;nucleus,2
Q9P0Z9,PIPOX,cytosol;peroxisome,2
Q8NBL1,POGLUT1,endoplasmic_reticulum,1
P38159,RBMX,extracellular;nucleus;vesicle,3
P31350,RRM2,cytosol;nucleus,2
Q9NQC3-2,RTN4,cell junction;endoplasmic_reticulum;nucleus;plasma_membrane;synapse,5
F5GYW9,SERPINB11,extracellular,1
P29508,SERPINB3,cytosol;extracellular;lysosome;nucleus;vesicle,5
P48594,SERPINB4,cytosol;extracellular,2
Q16586,SGCA,cell junction;cytoskeleton;endoplasmic_reticulum;golgi;nucleus;plasma_membrane;synapse,7
Q9P1W8-2,SIRPG,plasma_membrane,1
Q9UNH6-2,SNX7,endosome;vesicle,2
Q9BWW4-2,SSBP3,nucleus,1
Q8N6V9,TEX9,cytoskeleton,1
P01137,TGFB1,extracellular;golgi;nucleus;plasma_membrane;vesicle,5
P04637-4,TP53,cytoskeleton;cytosol;endoplasmic_reticulum;mitochondrion;nucleolus;nucleus,6
O95801,TTC4,cytoskeleton;nucleus,2
Q9NNX1-2,TUFT1,extracellular;nucleus,2
Q9BZV1-2,UBXN6,cytoskeleton;cytosol;endosome;extracellular;lysosome;nucleus;vesicle,7
O00744,WNT10B,extracellular,1
Q6ZS27,ZNF662,nucleus,1
O60512,B4GALT3,cytosol;extracellular;golgi;vesicle,4
O75936,BBOX1,cytosol;extracellular;mitochondrion;vesicle,4
O15382-2,BCAT2,mitochondrion;nucleus,2
O95972,BMP15,endoplasmic_reticulum;extracellular,2
Q9Y2G2,CARD8,cytosol;nucleus,2
Q8N0S6,CENPL,cytosol;nucleus,2
Q9H2X3-8,CLEC4M,extracellular;plasma_membrane,2
Q6Y2X3,DNAJC14,endoplasmic_reticulum;nucleus,2
Q92785,DPF2,cytoskeleton;cytosol;nucleus,3
Q9BVC3,DSCC1,nucleus,1
Q92838-3,EDA,cytoskeleton;extracellular;plasma_membrane,3
O14639-2,ABLIM1,cytoskeleton;plasma_membrane,2
Q06547-2,GABPB1,nucleus,1
Q8NFS9,GCNT2,golgi,1
P63092-2,GNAS,cytosol;extracellular;golgi;nucleus;plasma_membrane;vesicle,6
P42765,ACAA2,mitochondrion,1
O60478,GPR137B,lysosome;plasma_membrane,2
Q9NY97-2,B3GNT2,golgi,1
O43813,LANCL1,plasma_membrane,1
Q9UJU2,LEF1,nucleus,1
Q9NQ69-2,LHX9,nucleus,1
P07098,LIPF,endosome;extracellular;golgi;plasma_membrane;vesicle,5
Q00266,MAT1A,cytosol,1
Q92665,MRPS31,mitochondrion,1
Q03426,MVK,cytosol;peroxisome,2
Q9H1Y3,OPN3,cytosol;plasma_membrane,2
Q9UQ80,PA2G4,cytosol;extracellular;lysosome;nucleolus;nucleus;vesicle,6
Q9H074-2,PAIP1,cytosol;plasma_membrane,2
P05423,POLR3D,cytosol;nucleus,2
P14314,PRKCSH,endoplasmic_reticulum,1
Q6ZNE9,RUFY4,endosome;lysosome;vesicle,3
Q15047-3,SETDB1,nucleus,1
Q8TAD8,SNIP1,cytosol;nucleus,2
Q99469,STAC,cytosol;plasma_membrane,2
Q92734,TFG,cytosol;endoplasmic_reticulum,2
Q8IUC6,TICAM1,cytosol;endosome;mitochondrion;vesicle,4
Q9BSE2,TMEM79,golgi;lysosome,2
Q9H497,TOR3A,endoplasmic_reticulum;extracellular;nucleus;vesicle,4
Q9Y3Q8,TSC22D4,cell junction;nucleus;plasma_membrane;synapse,4
Q9GZV5,WWTR1,cell junction;cytosol;nucleus;plasma_membrane,4
Q9NR11-2,ZNF302,nucleus,1
Q96NG5,ZNF558,nucleus,1
Q96KC9,CABS1,mitochondrion;plasma_membrane;vesicle,3
Q8WVQ1-2,CANT1,endoplasmic_reticulum;extracellular;golgi;nucleus;plasma_membrane;vesicle,6
Q9BRT8,CBWD1,nucleus,1
Q9GZN1,ACTR6,cytoskeleton;nucleolus;nucleus,3
P13994,CCDC130,nucleus,1
Q96AJ1,CLUAP1,cytoskeleton;nucleus;plasma_membrane,3
Q13561-2,DCTN2,cytoskeleton;cytosol;extracellular;nucleus;plasma_membrane;vesicle,6
Q6P3S1-4,DENND1B,cytosol;nucleus;vesicle,3
P31689,DNAJA1,cytoskeleton;cytosol;endoplasmic_reticulum;extracellular;mitochondrion;nucleus;vesicle,7
Q14183,DOC2A,cell junction;lysosome;nucleolus;nucleus;plasma_membrane;synapse;vesicle,7
Q9HB65,ELL3,nucleolus;nucleus,2
P55085,F2RL1,endosome;golgi;plasma_membrane;vesicle,4
P16219,ACADS,cytoskeleton;mitochondrion;nucleus,3
Q9BV87,CNPPD1,nucleus,1
P32929-2,CTH,cytosol;extracellular;vesicle,3
O60884,DNAJA2,cytosol;extracellular;vesicle,3
O60496,DOK2,cytosol;plasma_membrane,2
Q9H3H5-2,DPAGT1,endoplasmic_reticulum;nucleus,2
P16444,DPEP1,cell junction;extracellular;nucleus;plasma_membrane;vesicle,5
Q9BY76,ANGPTL4,extracellular,1
P60842,EIF4A1,cytosol;extracellular;nucleus;plasma_membrane;vesicle,5
P38919,EIF4A3,cytosol;nucleolus;nucleus,3
Q9BS26,ERP44,endoplasmic_reticulum;er_golgi_intermediate;extracellular;nucleus;plasma_membrane;vesicle,6
Q9UK97-2,FBXO9,cytosol,1
O15218,GPR182,endosome;plasma_membrane;vesicle,3
Q9NZH0,GPRC5B,cytosol;extracellular;nucleolus;nucleus;plasma_membrane;vesicle,6
Q9Y2U9-2,KLHDC2,nucleus,1
O15229-2,KMO,cytosol;mitochondrion,2
P13473-2,LAMP2,endosome;extracellular;golgi;lysosome;plasma_membrane;vesicle,6
Q8IYG6,LRRC56,plasma_membrane,1
Q6PIU2-2,NCEH1,endoplasmic_reticulum;nucleus;plasma_membrane,3
Q9NRN5,OLFML3,extracellular;vesicle,2
P32121-3,ARRB2,cytosol;nucleus;plasma_membrane;vesicle,4
Q15120,PDK3,mitochondrion,1
Q16654,PDK4,mitochondrion,1
Q9BUL5-2,PHF23,cytosol;nucleus,2
P15735,PHKG2,cytosol,1
P48426,PIP4K2A,cytosol;lysosome;nucleus;plasma_membrane,4
Q53GL0,PLEKHO1,mitochondrion;nucleus;plasma_membrane,3
P62195,PSMC5,cell junction;cytosol;extracellular;nucleus;plasma_membrane;synapse;vesicle,7
P54727,RAD23B,cytosol;nucleus,2
Q15434,RBMS2,cytosol;nucleus,2
P00797-2,REN,extracellular;plasma_membrane,2
Q06587,RING1,cytosol;nucleus,2
Q674R7,ATG9B,endoplasmic_reticulum;endosome;golgi;nucleus;vesicle,5
P39023,RPL3,cell junction;cytosol;extracellular;nucleolus;nucleus;vesicle,6
Q5VWQ0,RSBN1,nucleus,1
Q8NC51-2,SERBP1,cytosol;extracellular;nucleus;vesicle,4
P05154,SERPINA5,extracellular;plasma_membrane;vesicle,3
Q03154,ACY1,cytosol;extracellular;vesicle,3
Q13309-2,SKP2,cytosol;nucleolus;nucleus,3
Q9NY99-2,SNTG2,cytoskeleton;plasma_membrane,2
P15907,ST6GAL1,extracellular;golgi,2
Q92783-2,STAM,cytosol;endosome;vesicle,3
Q93088,BHMT,cytosol;extracellular;nucleus;vesicle,4
P48775,TDO2,cytosol,1
P12644,BMP4,endoplasmic_reticulum;extracellular,2
Q6XPS3-3,TPTE2,cytosol;endoplasmic_reticulum;golgi;nucleus,4
O60858-3,TRIM13,endoplasmic_reticulum;nucleus,2
Q96Q11-2,TRNT1,cytosol;mitochondrion;nucleus,3
Q9GZZ9-2,UBA5,cytosol;endoplasmic_reticulum;golgi;nucleus,4
Q9NYS7,WSB2,cytosol,1
Q9H8X9,ZDHHC11,endoplasmic_reticulum;endosome;golgi;nucleus;vesicle,5
Q8IYP9,ZDHHC23,endoplasmic_reticulum;golgi,2
Q5VW32,BROX,extracellular;nucleus;vesicle,3
Q9HBT8,ZNF286A,nucleus,1
P17036,ZNF3,nucleus,1
Q96H86,ZNF764,nucleus,1
Q7Z6B0-2,CCDC91,golgi;nucleus,2
P49753,ACOT2,cytosol;mitochondrion;peroxisome,3
P51878-2,CASP5,cytosol,1
Q9Y6K0,CEPT1,endoplasmic_reticulum;golgi;nucleus,3
P12532-2,CKMT1A,mitochondrion,1
P17540,CKMT2,mitochondrion,1
P48052,CPA2,extracellular,1
P48730-2,CSNK1D,cytoskeleton;cytosol;er_golgi_intermediate;golgi;nucleus;plasma_membrane,6
P49674,CSNK1E,cytosol;nucleus,2
Q2NKX8,ERCC6L,cytosol;nucleus,2
Q9UI08-2,EVL,cell junction;cytoskeleton;cytosol;plasma_membrane,4
Q96LP2,FAM81B,nucleus,1
Q8N1E6,FBXL14,cytosol,1
P37268,FDFT1,endoplasmic_reticulum;nucleus,2
