uniprot,symbol,compartments,n_compartments
Q9NX04,C1orf109,cytosol;nucleolus;nucleus,3
P01241-2,GH1,endosome;extracellular;vesicle,3
A2RUB6-3,CCDC66,cell junction;cytoskeleton;cytosol;plasma_membrane,4
Q13487,SNAPC2,cytosol;nucleus,2
Q9P2D1,CHD7,nucleolus;nucleus,2
Q96JF6,ZNF594,nucleus,1
Q8NAP8-2,ZBTB8B,cytosol;nucleus,2
A6NFM0,POLR2J2,nucleus,1
Q8WUJ0,STYX,cytosol;nucleus,2
P53803,POLR2K,cytosol;nucleolus;nucleus,3
Q9BRP4,PAAF1,cytosol,1
P61026,RAB10,cell junction;cytosol;endoplasmic_reticulum;endosome;extracellular;golgi;lysosome;nucleus;plasma_membrane;vesicle,10
P13987,CD59,cell junction;endoplasmic_reticulum;er_golgi_intermediate;extracellular;golgi;nucleus;plasma_membrane;vesicle,8
Q92879-2,CELF1,nucleus,1
Q92995,USP13,cytosol;nucleus,2
P42704,LRPPRC,cytoskeleton;mitochondrion;nucleus,3
O95757,HSPA4L,cytosol;nucleus,2
Q92598-2,HSPH1,cytosol;extracellular;nucleus;vesicle,4
Q5VVJ2,MYSM1,nucleolus;nucleus,2
O15525,MAFG,nucleus,1
P52597,HNRNPF,cytosol;nucleus;plasma_membrane,3
O76031,CLPX,cytosol;mitochondrion;nucleus,3
Q9NPI6,DCP1A,cytosol;nucleus,2
Q96GV9,C5orf30,cytosol;plasma_membrane,2
P50053-2,KHK,cytosol;extracellular;vesicle,3
Q969E2-2,SCAMP4,endosome;golgi;vesicle,3
Q96F07-2,CYFIP2,cell junction;cytosol;extracellular;nucleus;plasma_membrane;synapse;vesicle,7
Q8IZP0-10,ABI1,cell junction;cytoskeleton;cytosol;endoplasmic_reticulum;extracellular;nucleus;plasma_membrane;synapse;vesicle,9
P10092,CALCB,extracellular,1
Q9BY32,ITPA,cytosol;nucleus,2
Q96KP4,CNDP2,cytosol;extracellular;nucleus;vesicle,4
P52788-2,SMS,cytosol;extracellular;vesicle,3
Q9BZH6,WDR11,cytoskeleton;cytosol;golgi;lysosome;nucleus;plasma_membrane;vesicle,7
P53420,COL4A4,endoplasmic_reticulum;extracellular,2
P02452,COL1A1,endoplasmic_reticulum;extracellular,2
P05997,COL5A2,endoplasmic_reticulum;extracellular,2
P02461-2,COL3A1,endoplasmic_reticulum;extracellular,2
P20908,COL5A1,endoplasmic_reticulum;extracellular,2
Q99715-4,COL12A1,endoplasmic_reticulum;extracellular;vesicle,3
Q5TAT6-2,COL13A1,cell junction;endoplasmic_reticulum;extracellular;plasma_membrane;synapse,5
P18847,ATF3,nucleolus;nucleus,2
Q9UKF6,CPSF3,nucleus,1
Q86VW2-2,ARHGEF25,cytosol;plasma_membrane,2
Q8IY47,KBTBD2,nucleus,1
P12882,MYH1,cytoskeleton,1
P13535,MYH8,cytoskeleton;cytosol,2
Q9UKX2,MYH2,cell junction;cytoskeleton;cytosol,3
P20929,NEB,cytoskeleton;cytosol;extracellular;vesicle,4
P68133,ACTA1,cytoskeleton;cytosol;extracellular;plasma_membrane;vesicle,5
Q8WZ42-2,TTN,cytoskeleton;cytosol;extracellular;nucleus;plasma_membrane;vesicle,6
P05976-2,MYL1,cytoskeleton;cytosol,2
Q96A32,MYLPF,cytoskeleton;cytosol;lysosome,3
P07451,CA3,cytosol,1
Q14324,MYBPC2,cytosol,1
Q8IX04,UEVLD,endosome;extracellular;vesicle,3
P50990,CCT8,cytoskeleton;cytosol;extracellular;lysosome;nucleus;vesicle,6
Q9UHE5,NAT8,endoplasmic_reticulum;er_golgi_intermediate;nucleus,3
P27701,CD82,extracellular;plasma_membrane;vesicle,3
Q9BU61,NDUFAF3,mitochondrion;nucleus,2
Q9NZJ9,NUDT4,cytosol;nucleus,2
Q5TBB1,RNASEH2B,nucleus,1
P26572,MGAT1,er_golgi_intermediate;extracellular;golgi;vesicle,4
Q05BV3-5,EML5,cytoskeleton;extracellular;vesicle,3
P46379-2,BAG6,cytosol;extracellular;nucleus;vesicle,4
Q9H8Y5,ANKZF1,cytosol,1
Q9UHR4,BAIAP2L1,cell junction;cytoskeleton;cytosol;extracellular;nucleus;plasma_membrane;vesicle,7
Q8N9B5-2,JMY,cytoskeleton;nucleus;vesicle,3
Q13367,AP3B2,endosome;golgi;vesicle,3
Q9NYS0,NKIRAS1,cytosol;endoplasmic_reticulum,2
Q9BW27,NUP85,cytoskeleton;cytosol;nucleus,3
Q96BZ9-3,TBC1D20,endoplasmic_reticulum;er_golgi_intermediate;golgi;nucleus,4
Q92503-2,SEC14L1,cytosol;golgi,2
P46734-2,MAP2K3,cytosol;nucleus,2
P10589,NR2F1,cytosol;nucleus,2
Q9Y233,PDE10A,cytosol,1
Q9NQ66-2,PLCB1,cytosol;extracellular;nucleus;vesicle,4
O95837,GNA14,extracellular;plasma_membrane;vesicle,3
Q5D862,FLG2,extracellular;nucleus;plasma_membrane;vesicle,4
Q9Y2T3,GDA,cytosol,1
P01562,IFNA13,extracellular,1
O14879,IFIT3,cytosol;mitochondrion,2
Q8TCB0,IFI44,cytosol,1
Q53G44,IFI44L,cytosol,1
P40938,RFC3,nucleus,1
O60683-2,PEX10,peroxisome,1
Q92994,BRF1,nucleus,1
Q96S16,JMJD8,endoplasmic_reticulum;nucleus,2
Q9Y5Y5-2,PEX16,cytosol;endoplasmic_reticulum;nucleus;peroxisome,4
O75356,ENTPD5,endoplasmic_reticulum;extracellular,2
P54725,RAD23A,cytosol;golgi;nucleus,3
Q96FV2,SCRN2,extracellular;nucleus;vesicle,3
O15194-2,CTDSPL,extracellular;nucleus;vesicle,3
O14964-2,HGS,cytosol;endosome;extracellular;lysosome;vesicle,5
Q6TCH7-2,PAQR3,golgi,1
P78552,IL13RA1,plasma_membrane,1
P54756-2,EPHA5,endoplasmic_reticulum;plasma_membrane;vesicle,3
Q08357,SLC20A2,extracellular;plasma_membrane;vesicle,3
Q9NPF2-2,CHST11,golgi,1
P57771-2,RGS8,nucleus;plasma_membrane,2
O75037-2,KIF21B,cytoskeleton;plasma_membrane;vesicle,3
Q8IY33-5,MICALL2,cell junction;endosome;plasma_membrane;vesicle,4
P51153,RAB13,cell junction;cytosol;endosome;extracellular;golgi;plasma_membrane;synapse;vesicle,8
P54886-2,ALDH18A1,mitochondrion,1
P19021-2,PAM,extracellular;vesicle,2
Q7Z3U7-2,MON2,endoplasmic_reticulum;endosome;extracellular;golgi;lysosome;vesicle,6
Q6ZS30,NBEAL1,cytosol,1
Q53EL6,PDCD4,cytosol;nucleus,2
Q8WZA9,IRGQ,lysosome;vesicle,2
Q8TBC4-2,UBA3,cytosol;nucleus,2
Q13564,NAE1,cytosol;plasma_membrane,2
Q15843,NEDD8,cytosol;extracellular;nucleus;vesicle,4
E7EQZ3,GSPT1,cytosol,1
Q12769,NUP160,cytosol;nucleus,2
A8MWY0-2,KIAA1324L,plasma_membrane,1
Q96EP1-2,CHFR,nucleus,1
Q3MIT2,PUS10,cytosol;mitochondrion;nucleus,3
Q7L7X3,TAOK1,cytoskeleton;cytosol;extracellular;vesicle,4
O75822,EIF3J,cytosol,1
Q03013-2,GSTM4,cytosol;extracellular,2
Q96NU0-2,CNTNAP3B,cell junction;plasma_membrane;synapse,3
O95479,H6PD,endoplasmic_reticulum,1
Q9NTN9-2,SEMA4G,plasma_membrane,1
Q6ZRP7,QSOX2,extracellular;golgi;nucleus;plasma_membrane,4
Q10469,MGAT2,golgi,1
Q8TE58,ADAMTS15,extracellular;plasma_membrane,2
P34820,BMP8B,extracellular,1
O75493,CA11,extracellular;plasma_membrane,2
P51178,PLCD1,extracellular;plasma_membrane;vesicle,3
Q9BYG4,PARD6G,cell junction;cytosol;nucleus;plasma_membrane,4
